
#U  J  Del_cdw
-9.7980  -3.8980  1.8529
-9.7980  -3.8372  1.8607
-9.7980  -3.7764  1.8681
-9.7980  -3.7156  1.8748
-9.7980  -3.6548  1.8811
-9.7980  -3.5940  1.8870
-9.7980  -3.5332  1.8921
-9.7980  -3.4724  1.8971
-9.7980  -3.4116  1.9018
-9.7980  -3.3508  1.9063
-9.7980  -3.2899  1.9104
-9.7980  -3.2291  1.9141
-9.7980  -3.1683  1.9176
-9.7980  -3.1075  1.9211
-9.7980  -3.0467  1.9243
-9.7980  -2.9859  1.9273
-9.7980  -2.9251  1.9298
-9.7980  -2.8643  1.9330
-9.7980  -2.8035  1.9357
-9.7980  -2.7427  1.9378
-9.7980  -2.6819  1.9403
-9.7980  -2.6211  1.9420
-9.7980  -2.5603  1.9441
-9.7980  -2.4995  1.9460
-9.7980  -2.4387  1.9479
-9.7980  -2.3779  1.9498
-9.7980  -2.3171  1.9515
-9.7980  -2.2563  1.9528
-9.7980  -2.1955  1.9543
-9.7980  -2.1347  1.9559
-9.7980  -2.0739  1.9571
-9.7980  -2.0131  1.9583
-9.7980  -1.9523  1.9595
-9.7980  -1.8915  1.9608
-9.7980  -1.8307  1.9620
-9.7980  -1.7698  1.9628
-9.7980  -1.7090  1.9641
-9.7980  -1.6482  1.9651
-9.7980  -1.5874  1.9663
-9.7980  -1.5266  1.9670
-9.7980  -1.4658  1.9677
-9.7980  -1.4050  1.9687
-9.7980  -1.3442  1.9693
-9.7980  -1.2834  1.9701
-9.7980  -1.2226  1.9708
-9.7980  -1.1618  1.9717
-9.7980  -1.1010  1.9725
-9.7980  -1.0402  1.9732
-9.7980  -0.9794  1.9736
-9.7980  -0.9186  1.9744
-9.7980  -0.8578  1.9750
-9.7980  -0.7970  1.9756
-9.7980  -0.7362  1.9760
-9.7980  -0.6754  1.9765
-9.7980  -0.6146  1.9772
-9.7980  -0.5538  1.9779
-9.7980  -0.4930  1.9780
-9.7980  -0.4322  1.9785
-9.7980  -0.3714  1.9793
-9.7980  -0.3106  1.9794
-9.7980  -0.2497  1.9801
-9.7980  -0.1889  1.9805
-9.7980  -0.1281  1.9809
-9.7980  -0.0673  1.9813
-9.7980  -0.0065  1.9816
-9.7980  0.0543  1.9819
-9.7980  0.1151  1.9823
-9.7980  0.1759  1.9828
-9.7980  0.2367  1.9829
-9.7980  0.2975  1.9837
-9.7980  0.3583  1.9837
-9.7980  0.4191  1.9840
-9.7980  0.4799  1.9843
-9.7980  0.5407  1.9846
-9.7980  0.6015  1.9848
-9.7980  0.6623  1.9851
-9.7980  0.7231  1.9856
-9.7980  0.7839  1.9860
-9.7980  0.8447  1.9860
-9.7980  0.9055  1.9860
-9.7980  0.9663  1.9865
-9.7980  1.0271  1.9866
-9.7980  1.0879  1.9869
-9.7980  1.1487  1.9872
-9.7980  1.2095  1.9874
-9.7980  1.2704  1.9876
-9.7980  1.3312  1.9877
-9.7980  1.3920  1.9880
-9.7980  1.4528  1.9881
-9.7980  1.5136  1.9883
-9.7980  1.5744  1.9886
-9.7980  1.6352  1.9885
-9.7980  1.6960  1.9889
-9.7980  1.7568  1.9893
-9.7980  1.8176  1.9893
-9.7980  1.8784  1.9892
-9.7980  1.9392  1.9895
-9.7980  2.0000  1.9897
-9.6970  -10.1000  0.0000
-9.6970  -10.0392  0.0000
-9.6970  -9.9784  0.0000
-9.6970  -9.9176  0.0000
-9.6970  -9.8568  0.0000
-9.6970  -9.7960  0.0000
-9.6970  -9.7352  0.0000
-9.6970  -9.6744  0.0000
-9.6970  -9.6136  0.0000
-9.6970  -9.5528  0.0000
-9.6970  -9.4920  0.0000
-9.6970  -9.4312  0.0000
-9.6970  -9.3704  0.0000
-9.6970  -9.3095  0.0000
-9.6970  -9.2487  0.0000
-9.6970  -9.1879  0.0000
-9.6970  -9.1271  0.0000
-9.6970  -9.0663  0.0000
-9.6970  -9.0055  0.0000
-9.6970  -8.9447  0.0000
-9.6970  -8.8839  0.0000
